_time,host,EventCode,Accin,Dominio Fuente,Usuario Fuente,Dominio Objetivo,Usuario Objetivo
Thu Jun  6 14:37:48 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,cmarconi
Thu Jun  6 14:36:57 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,cmarconi
Thu Jun  6 14:34:48 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,cmarconi
Thu Jun  6 13:25:26 2024,ARBA-CPSA-DC01,4723,An attempt was made to change an account's password,MAD,GPereyra,MAD,GPereyra
Thu Jun  6 13:25:04 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,jfernandez
Thu Jun  6 11:40:10 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,dbenedetti
Thu Jun  6 11:40:10 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,dbenedetti
Thu Jun  6 11:38:11 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,dbenedetti
Thu Jun  6 10:35:00 2024,AZE-CPSA-DC04,4723,An attempt was made to change an account's password,MAD,MSOL_f2675ea66c7b,MAD,gzarate
Thu Jun  6 10:21:37 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,jdegan
Thu Jun  6 10:21:37 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,jdegan
Thu Jun  6 10:21:07 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,jdegan
Thu Jun  6 10:20:51 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,jdegan
Thu Jun  6 10:20:24 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,jdegan
Thu Jun  6 10:20:05 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,jdegan
Thu Jun  6 09:06:37 2024,ARBA-CPSA-DC01,4724,An attempt was made to reset an accounts password,MAD,sv-domainjoin,MAD,ARSF-CTBL-WS020$
Thu Jun  6 09:06:37 2024,ARBA-CPSA-DC01,4722,A user account was enabled,MAD,sv-domainjoin,MAD,ARSF-CTBL-WS020$
Thu Jun  6 09:04:53 2024,ARBA-CPSA-DC01,4723,An attempt was made to change an account's password,MAD,ctrenti,MAD,ctrenti
Thu Jun  6 09:04:03 2024,ARBA-CPSA-DC01,4723,An attempt was made to change an account's password,MAD,ctrenti,MAD,ctrenti
Thu Jun  6 07:20:32 2024,ARSF-CGT6-DC01,4723,An attempt was made to change an account's password,MAD,msbaisero,MAD,msbaisero
Thu Jun  6 06:28:20 2024,ARBA-CPSA-DC01,4723,An attempt was made to change an account's password,MAD,Raris,MAD,Raris
Thu Jun  6 01:26:31 2024,ARBA-CPSA-DC02,4723,An attempt was made to change an account's password,MAD,mjfernandez,MAD,mjfernandez
Thu Jun  6 01:25:30 2024,ARBA-CPSA-DC02,4723,An attempt was made to change an account's password,MAD,mjfernandez,MAD,mjfernandez
Wed Jun  5 19:20:10 2024,ARBA-CPSA-DC03,4723,An attempt was made to change an account's password,MAD,FPerseguino,MAD,FPerseguino
Wed Jun  5 16:04:56 2024,AZE-CPSA-DC04,4723,An attempt was made to change an account's password,MAD,MSOL_f2675ea66c7b,MAD,e.aalba
Wed Jun  5 15:46:06 2024,ARBA-CPSA-DC01,4724,An attempt was made to reset an accounts password,MAD,e.fbernardi_adm,MAD,e.aalba
Wed Jun  5 14:17:02 2024,ARBA-CPSA-DC03,4767,A user account was unlocked,MAD,Readymind1,MAD,ctrenti
Wed Jun  5 14:17:02 2024,ARBA-CPSA-DC03,4724,An attempt was made to reset an accounts password,MAD,Readymind1,MAD,ctrenti
Wed Jun  5 13:55:25 2024,ARBA-CPSA-DC03,4723,An attempt was made to change an account's password,MAD,Hlarosa,MAD,Hlarosa
Wed Jun  5 13:55:04 2024,ARBA-CPSA-DC03,4723,An attempt was made to change an account's password,MAD,Hlarosa,MAD,Hlarosa
Wed Jun  5 13:35:22 2024,ARBA-CPSA-DC03,4723,An attempt was made to change an account's password,MAD,abenitez,MAD,abenitez
Wed Jun  5 13:35:05 2024,ARBA-CPSA-DC03,4723,An attempt was made to change an account's password,MAD,abenitez,MAD,abenitez
Wed Jun  5 13:34:46 2024,ARBA-CPSA-DC03,4723,An attempt was made to change an account's password,MAD,abenitez,MAD,abenitez
Wed Jun  5 13:34:25 2024,ARBA-CPSA-DC03,4723,An attempt was made to change an account's password,MAD,abenitez,MAD,abenitez
Wed Jun  5 13:34:07 2024,ARBA-CPSA-DC03,4723,An attempt was made to change an account's password,MAD,abenitez,MAD,abenitez
Wed Jun  5 13:10:09 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,dbenedetti
Wed Jun  5 13:09:00 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,dbenedetti
Wed Jun  5 13:06:42 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,dbenedetti
Wed Jun  5 13:06:27 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,dbenedetti
Wed Jun  5 13:02:54 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,dbenedetti
Wed Jun  5 12:48:52 2024,ARBA-CPSA-DC01,4724,An attempt was made to reset an accounts password,MAD,sv-domainjoin,MAD,ARBA-CPSA-NB288$
Wed Jun  5 12:48:52 2024,ARBA-CPSA-DC01,4722,A user account was enabled,MAD,sv-domainjoin,MAD,ARBA-CPSA-NB288$
Wed Jun  5 12:36:50 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,esarove
Wed Jun  5 12:36:50 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,esarove
Wed Jun  5 12:24:23 2024,ARBA-CTCO-DC01,4740,A user account was locked out,MAD,ARBA-CTCO-DC01$,ARBA-CTCO-WS028,esarove
Wed Jun  5 12:24:23 2024,ARBA-CPSA-DC02,4740,A user account was locked out,MAD,ARBA-CPSA-DC02$,ARBA-CTCO-WS028,esarove
Wed Jun  5 11:51:09 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,dbenedetti
Wed Jun  5 11:50:19 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,dbenedetti
Wed Jun  5 11:33:58 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,dbenedetti
Wed Jun  5 11:32:12 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,dbenedetti
Wed Jun  5 11:28:19 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,dbenedetti
Wed Jun  5 11:27:43 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,dbenedetti
Wed Jun  5 11:27:20 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,dbenedetti
Wed Jun  5 11:26:57 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,dbenedetti
Wed Jun  5 10:39:02 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,dbenedetti
Wed Jun  5 10:39:02 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,dbenedetti
Wed Jun  5 10:13:53 2024,AZE-CPSA-DC04,4723,An attempt was made to change an account's password,MAD,MSOL_f2675ea66c7b,MAD,e.jperdomo
Wed Jun  5 10:12:15 2024,ARMDZ-CTM-DC,4723,An attempt was made to change an account's password,MAD,isarmiento,MAD,isarmiento
Wed Jun  5 10:11:43 2024,ARMDZ-CTM-DC,4723,An attempt was made to change an account's password,MAD,isarmiento,MAD,isarmiento
Wed Jun  5 10:11:15 2024,ARMDZ-CTM-DC,4723,An attempt was made to change an account's password,MAD,isarmiento,MAD,isarmiento
Wed Jun  5 10:10:40 2024,ARMDZ-CTM-DC,4723,An attempt was made to change an account's password,MAD,isarmiento,MAD,isarmiento
Wed Jun  5 10:02:43 2024,ARSF-CTBL-DC01,4723,An attempt was made to change an account's password,MAD,rcello,MAD,rcello
Wed Jun  5 10:00:52 2024,ARBA-CPSA-DC01,4723,An attempt was made to change an account's password,MAD,LubricNP,MAD,LubricNP
Wed Jun  5 09:36:04 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,cbusamia
Wed Jun  5 09:36:04 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,cbusamia
Wed Jun  5 09:08:25 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,eterraneo
Wed Jun  5 09:08:25 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,eterraneo
Wed Jun  5 09:08:05 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,eterraneo
Wed Jun  5 09:04:50 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,eterraneo
Wed Jun  5 08:13:44 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,gnasso
Wed Jun  5 08:13:44 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,gnasso
Wed Jun  5 08:12:11 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,gnasso
Wed Jun  5 07:05:37 2024,ARNQ-HPDA-DC,4723,An attempt was made to change an account's password,MAD,JBecker,MAD,JBecker
Wed Jun  5 05:22:52 2024,ARBA-CTCO-DC01,4723,An attempt was made to change an account's password,MAD,lchodorowski,MAD,lchodorowski
Tue Jun  4 21:55:28 2024,ARBA-CPSA-DC01,4723,An attempt was made to change an account's password,MAD,madadmin,MAD,madadmin
Tue Jun  4 18:31:38 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,acarmona
Tue Jun  4 18:31:38 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,acarmona
Tue Jun  4 18:30:55 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,acarmona
Tue Jun  4 18:02:15 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,madadmin,MAD,AZUREADSSOACC$
Tue Jun  4 18:02:14 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,madadmin,MAD,AZUREADSSOACC$
Tue Jun  4 17:56:16 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,madadmin,MAD,AZUREADSSOACC$
Tue Jun  4 17:56:16 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,madadmin,MAD,AZUREADSSOACC$
Tue Jun  4 16:50:45 2024,ARBA-CPSA-DC01,4722,A user account was enabled,MAD,e.fbernardi_adm,MAD,lpasquale
Tue Jun  4 16:50:45 2024,ARBA-CPSA-DC01,4724,An attempt was made to reset an accounts password,MAD,e.fbernardi_adm,MAD,lpasquale
Tue Jun  4 16:50:45 2024,ARBA-CPSA-DC01,4720,A user account was created,MAD,e.fbernardi_adm,MAD,lpasquale
Tue Jun  4 16:20:10 2024,ARBA-CTCO-DC01,4723,An attempt was made to change an account's password,MAD,jreta,MAD,jreta
Tue Jun  4 15:58:12 2024,ARBA-CPSA-DC03,4723,An attempt was made to change an account's password,MAD,ARBA-CPSA-VC02$,MAD,ARBA-CPSA-VC02$
Tue Jun  4 15:00:26 2024,ARBA-CPSA-DC02,4724,An attempt was made to reset an accounts password,MAD,sv-domainjoin,MAD,ARBA-CPSA-NB178$
Tue Jun  4 15:00:26 2024,ARBA-CPSA-DC02,4722,A user account was enabled,MAD,sv-domainjoin,MAD,ARBA-CPSA-NB178$
Tue Jun  4 14:57:34 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,jliberal
Tue Jun  4 14:57:33 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,jliberal
Tue Jun  4 14:46:34 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,jliberal
Tue Jun  4 14:33:09 2024,ARBA-CPSA-DC03,4767,A user account was unlocked,MAD,Readymind1,MAD,jliberal
Tue Jun  4 14:33:09 2024,ARBA-CPSA-DC03,4724,An attempt was made to reset an accounts password,MAD,Readymind1,MAD,jliberal
Tue Jun  4 14:29:34 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,gzarate
Tue Jun  4 14:29:34 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,gzarate
Tue Jun  4 14:23:28 2024,ARBA-CPSA-DC02,4723,An attempt was made to change an account's password,MAD,psmall,MAD,psmall
Tue Jun  4 13:47:09 2024,ARMDZ-CTM-DC,4723,An attempt was made to change an account's password,MAD,fcabrera,MAD,fcabrera
Tue Jun  4 12:43:26 2024,ARMDZ-CTM-DC,4723,An attempt was made to change an account's password,MAD,pharding,MAD,pharding
Tue Jun  4 12:21:17 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,jcismondi
Tue Jun  4 12:20:59 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,jcismondi
Tue Jun  4 12:20:20 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,jcismondi
Tue Jun  4 12:16:26 2024,ARBA-CPSA-DC02,4740,A user account was locked out,MAD,ARBA-CPSA-DC02$,ARMDZ-CTM-WS075,jliberal
Tue Jun  4 12:16:26 2024,ARMDZ-CTM-DC,4740,A user account was locked out,MAD,ARMDZ-CTM-DC$,ARMDZ-CTM-WS075,jliberal
Tue Jun  4 12:12:41 2024,AZE-CPSA-DC04,4767,A user account was unlocked,MAD,MSOL_f2675ea66c7b,MAD,wfernandez
Tue Jun  4 12:12:41 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,wfernandez
Tue Jun  4 12:11:38 2024,AZE-CPSA-DC04,4724,An attempt was made to reset an accounts password,MAD,MSOL_f2675ea66c7b,MAD,wfernandez
